snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
3256,222.43015989813523,263.8258508394725,227.9624754894893,265.3406960876991,233.30386167223335,265.84652513658676,236.68371043001503,266.27387089739466,3.4000000000000004,108,16
3257,221.28752667700616,264.2518827940627,227.06362994505255,265.4813191854379,232.74934881683808,265.92683675896865,236.21006566640278,266.31452594732286,3.8000000000000003,108,16
3258,220.3121335555677,264.70056744147956,226.06679712377573,265.5221164685307,232.21295897671536,265.968975564051,235.83077728702767,266.35044247431404,4.2,108,16
3259,219.15851488896757,264.9275794292603,225.0760297600453,265.49921582003117,231.6179089389854,265.9592481020413,235.462756416086,266.3730363736872,4.6,108,16
3260,217.9411662051266,265.01343424034184,224.1149945367622,265.4294240262363,231.05489193426686,265.91913301743284,235.10240416017558,266.38184395155093,5.0,108,16
3261,212.6566683512131,264.4858852983552,219.95138083002098,264.5806170920555,228.58998008693436,265.3545559075429,233.548176334713,266.25093477200704,6.666666666666667,108,16
3262,205.2494890642693,263.7058368818268,215.31662888023178,262.54421846246595,225.40668746044477,263.6263692164141,232.01581775521896,265.86935548380484,8.333333333333334,108,16
3263,199.71406710325707,262.03615139282994,208.15129200336412,261.699852310856,222.77762954744082,262.1874872418656,230.46649517262858,265.25234149604756,10.0,108,16
3264,194.8182643750992,260.30185680746274,204.10757495654732,260.1493747765214,220.1020848011471,260.4516252249901,228.22961948929083,263.7340173480179,11.666666666666668,108,16
3265,189.97732438345344,258.06339936706013,199.61490492569067,257.8705989978016,217.4434083207228,258.51840489214624,226.60155361328347,262.73992066668876,13.333333333333334,108,16
3266,185.68378345755332,256.5057739141849,196.0504444274526,255.86823790591663,210.50256219434277,257.89104576671326,224.95155420886047,261.59145762635166,15.0,108,16
3267,181.41207455437376,253.82329107906673,192.01622937791467,253.47902793664736,207.81945377749386,256.22841909260075,223.26533280346868,260.30665046678735,16.666666666666668,108,16
3268,177.41677526851745,251.3376125275865,188.53034968212046,251.59138362962526,204.46961731765768,254.09755470570838,221.57350578466446,258.9177092842021,18.333333333333336,108,16
3269,173.68642689417288,249.8650802557064,185.08299928972616,248.79133865348237,201.52155782890046,251.59484863997534,219.88484105504384,257.44533154985504,20.0,108,16
3270,176.8745830930553,212.22524587588555,179.1774888341325,213.5742341827024,189.56943653151214,221.74159279372378,204.5102823561738,233.56582156018342,0.0,109,7
3271,193.10153477443626,226.26859638963674,202.84793644694278,234.49059410264232,215.36019182361036,245.3581622352565,225.41771845145394,254.2492052197688,0.1,109,7
3272,203.82405290036445,235.92513285679982,214.94490855006313,245.52779824531117,225.52303151094597,254.9168713128251,232.0646223087306,260.8631567286537,0.2,109,7
3273,210.68365048808403,242.31305043806756,221.31649366595605,251.63473583287825,229.9716758527289,259.3682196712647,234.35582051153415,263.24488733865553,0.30000000000000004,109,7
3274,215.23914158051792,246.7728900745909,224.7474594710715,255.16484862992556,231.39310222248946,260.9287818478614,234.3520330820483,263.3457273483386,0.4,109,7
3275,218.1627368345901,249.80813875718493,226.60773947945137,257.28636615536897,232.35222815160324,262.13625451405795,234.523246201441,263.66116286101754,0.5,109,7
3276,220.133459953923,252.27737821862814,227.61588381953896,258.62630358619833,232.40520345891173,262.41519689968914,234.59757747471895,263.882614514457,0.6000000000000001,109,7
3277,221.557095919976,254.08031883164261,227.8819141105603,259.39251832527873,232.26965416431958,262.50835530705257,234.6410860074866,264.0721468878095,0.7000000000000001,109,7
3278,222.48869353523992,255.42460467451636,228.25390003957708,260.16674426843144,232.07097057049816,262.5353758397044,234.40341760764187,263.96297214586417,0.8,109,7
3279,223.12891559913663,256.5036334874208,228.10607538347193,260.37472696906264,232.11618609618458,262.82114974610516,234.50095505185843,264.22012637202266,0.9,109,7
3280,223.56384841425518,257.39188111967366,228.126390390264,260.7679328560935,232.13266462926035,263.0712691600684,234.3918899504052,264.2472616081549,1.0,109,7
